Rk,Tm,Year,#Matching,W,L,,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GDP,SB,CS,WPA
217,SEA,2016,162,86,76,Ind. Games,6227,5583,768,1446,251,17,223,735,506,1288,.259,.326,.430,.756,24,41,29,72,138,56,28,2.2
218,SEA,1984,162,74,88,Ind. Games,6216,5546,682,1429,244,34,129,635,519,871,.258,.324,.384,.708,66,38,35,42,101,116,62,-0.6
219,SEA,1989,162,73,89,Ind. Games,6134,5512,694,1417,237,29,134,653,489,838,.257,.320,.384,.703,35,52,40,45,109,81,55,-2.2
220,SEA,1999,162,79,83,Ind. Games,6310,5572,859,1499,263,21,244,825,610,1095,.269,.343,.455,.798,38,48,38,42,114,130,45,-0.4
221,SEA,2004,162,63,99,Ind. Games,6362,5722,698,1544,276,20,136,658,492,1058,.270,.331,.396,.727,46,48,49,54,131,110,42,-15.4
222,SEA,2009,162,85,77,Ind. Games,6113,5543,640,1430,280,19,160,613,421,1093,.258,.314,.402,.716,56,44,39,49,124,89,33,-5.2
223,SEA,2014,162,87,75,Ind. Games,5977,5450,634,1328,247,32,136,600,396,1232,.244,.300,.376,.676,35,34,33,60,112,96,42,-5.7
224,SEA,1982,162,76,86,Ind. Games,6181,5626,651,1431,259,33,130,614,456,806,.254,.311,.381,.692,42,35,31,22,113,131,82,-11.1
225,SEA,1987,162,78,84,Ind. Games,6145,5508,760,1499,282,48,161,717,500,863,.272,.335,.428,.763,38,50,19,43,133,174,73,-3.2
226,SEA,1992,162,64,98,Ind. Games,6180,5564,679,1466,278,24,149,638,474,841,.263,.323,.402,.725,52,51,47,38,148,100,55,-4.4
227,SEA,1997,162,90,72,Ind. Games,6385,5614,925,1574,312,21,264,890,626,1110,.280,.355,.485,.839,46,49,53,49,146,89,40,12.1
228,SEA,2002,162,93,69,Ind. Games,6362,5569,814,1531,285,31,152,771,629,1003,.275,.350,.419,.769,41,72,62,51,123,137,58,4.6
229,SEA,2007,162,88,74,Ind. Games,6209,5684,794,1629,284,22,153,754,389,861,.287,.337,.425,.762,33,40,32,62,154,81,30,5.3
230,SDP,1985,162,83,79,Ind. Games,6150,5507,650,1405,241,28,109,611,513,809,.255,.320,.368,.688,75,32,68,23,128,60,39,-1.7
231,SDP,1990,162,75,87,Ind. Games,6218,5554,673,1429,243,35,123,628,509,902,.257,.320,.380,.700,79,48,75,28,117,138,59,-5.9
232,SDP,2000,162,76,86,Ind. Games,6291,5560,752,1413,279,37,157,714,602,1177,.254,.330,.402,.732,39,43,50,46,123,131,53,-3.5
233,SDP,2005,162,82,80,Ind. Games,6271,5502,684,1416,269,39,130,655,600,977,.257,.333,.391,.724,72,48,41,49,122,99,44,-2.2
234,SDP,2010,162,90,72,Ind. Games,6148,5434,665,1338,236,24,132,630,538,1183,.246,.317,.371,.689,79,46,67,50,106,124,50,-6.0
235,SDP,2015,162,74,88,Ind. Games,6019,5457,650,1324,260,36,148,623,426,1327,.243,.300,.385,.685,52,42,22,40,108,82,29,-3.7
236,SDP,1993,162,61,101,Ind. Games,6137,5503,679,1386,239,28,153,633,443,1046,.252,.312,.389,.701,80,50,43,59,111,92,41,-13.0
237,SDP,1998,162,98,64,Ind. Games,6245,5490,749,1390,292,30,167,715,604,1072,.253,.330,.409,.739,56,45,40,48,112,79,37,3.2
238,SDP,2003,162,64,98,Ind. Games,6246,5531,678,1442,257,32,128,641,565,1073,.261,.333,.388,.721,50,42,34,57,142,76,39,-3.6
239,SDP,2008,162,63,99,Ind. Games,6244,5568,637,1390,264,27,154,615,518,1259,.250,.317,.390,.707,59,46,35,53,129,36,17,-12.3
240,SDP,2013,162,76,86,Ind. Games,6122,5517,618,1349,246,26,146,578,467,1309,.245,.308,.378,.686,52,34,36,52,99,118,34,-0.3
241,SDP,1986,162,74,88,Ind. Games,6118,5515,656,1442,239,25,136,629,484,917,.261,.321,.388,.709,66,35,74,18,129,96,68,0.0
242,SDP,1991,162,84,78,Ind. Games,6057,5408,636,1321,204,36,121,591,501,1069,.244,.310,.362,.673,78,38,60,32,122,101,64,0.0
243,SDP,1996,162,91,71,Ind. Games,6419,5655,771,1499,285,24,147,718,601,1014,.265,.338,.402,.740,59,52,61,50,146,109,55,-2.2
244,SDP,2001,162,79,83,Ind. Games,6278,5482,789,1379,273,26,161,753,678,1273,.252,.336,.399,.735,29,48,37,41,121,129,44,5.8
245,SDP,2006,162,88,74,Ind. Games,6287,5576,731,1465,298,38,161,698,564,1104,.263,.332,.416,.749,59,47,37,40,127,123,31,-2.1
246,SDP,2011,162,71,91,Ind. Games,6074,5417,593,1284,247,42,91,563,501,1320,.237,.305,.349,.653,55,47,42,48,105,170,44,-13.0
247,SDP,1984,162,92,70,Ind. Games,6119,5504,686,1425,207,42,109,629,472,810,.259,.317,.371,.688,64,55,70,24,132,152,68,5.5
248,SDP,2016,162,68,94,Ind. Games,6001,5419,686,1275,257,26,177,654,449,1500,.235,.299,.390,.689,36,36,30,58,93,125,45,-8.5
249,SDP,1989,162,89,73,Ind. Games,6120,5422,642,1360,215,32,120,598,552,1013,.251,.319,.369,.688,95,41,79,9,115,136,67,2.4
250,SDP,2017,162,71,91,Ind. Games,5954,5356,604,1251,227,31,189,576,460,1499,.234,.299,.393,.692,52,33,20,53,99,89,33,-6.3
251,SDP,1999,162,74,88,Ind. Games,6136,5394,710,1360,256,22,153,671,631,1169,.252,.332,.393,.725,36,40,31,35,132,174,67,-7.4
